exp,age_hrs,sacc_vol,sacc_squares,sacc_cells-square,sacc_cells-vol,sacc_vol-mix,schix_vol,schix_squares,schix_cells-square,schix_cells-vol,schix_vol-mix,mix_vol,mix_squares,mix_cells-square_sacc,mix_cells-square_schix
1,6,0.37,50,6.24,16.86,0.375,,,,,0.291,0.5,50,6.22,16.82
1,16,8.87,60,174.2,19.64,3.99,1,50,61.45,61.35,0.98,6.83,60,66.2,56.4
1,24,10.66,50,166.7,15.63,4.69,,,,,1.47,8.66,50,77.8,84.8
1,29,12.5,50,219.2,17.53,6.15,1.7,50,88.7,52.18,1.46,9.07,50,102.4,84.2
1,40,13.27,50,202,15.33,,,,,,,,,,
1,48,12.87,50,188.6,15.61,7.27,2.73,50,162.6,59.58,1.71,10.23,50,120.7,98.9
1,53,12.7,,,,8.3,,,,,1.84,10.5,50,137.6,106.2
1,72,,,,,,4.87,,,,,,,,
1,93,,,,,,5.67,,,,,,,,
1,117,,,,,,5.8,,,,,,,,
1,141,,,,,,5.83,,,,,,,,
2,7.5,1.63,60,25.72,15.78,0.923,,,,,0.371,1.33,60,16.54,20.06
2,15,6.2,60,99.75,16.09,3.082,1.27,60,61.41,14.38,0.63,4.8,60,55.2,34.08
2,24,10.97,60,203.5,18.55,5.78,,,,,1.22,8.57,60,103.5,65.9
2,31.5,12.6,60,243.6,19.33,9.91,2.33,60,126.3,54.2,1.112,11.17,60,177.6,60.1
2,33,12.9,60,244.7,18.96,9.47,,,,,1.225,10.8,60,169.6,66.2
2,44,12.77,60,248.6,19.46,10.57,,,,,1.102,11.47,60,189.3,59.5
2,51.5,12.9,60,223,17.28,9.883,4.56,60,272,59.65,0.961,10.8,60,177.1,51.8
