time,parasites,immune_cells
0,1,1
0.1,1.029900005,1.0000999
0.2,1.06069401,1.000202794
0.3,1.092408745,1.000308773
0.4,1.125071738,1.000417928
0.5,1.158711341,1.000530356
0.6,1.193356755,1.000646154
0.7,1.229038051,1.000765425
0.8,1.265786201,1.000888272
0.9,1.303633102,1.001014803
1,1.342611606,1.001145128
1.1,1.382755546,1.001279363
1.2,1.424099767,1.001417624
1.3,1.466680155,1.001560033
1.4,1.51053367,1.001706715
1.5,1.555698377,1.001857798
1.6,1.602213477,1.002013415
1.7,1.650119345,1.002173702
1.8,1.699457563,1.0023388
1.9,1.750270956,1.002508854
2,1.802603627,1.002684014
2.1,1.856501001,1.002864433
2.2,1.912009858,1.00305027
2.3,1.969178379,1.003241688
2.4,2.028056184,1.003438856
2.5,2.088694377,1.003641947
2.6,2.151145589,1.00385114
2.7,2.215464024,1.00406662
2.8,2.281705509,1.004288575
2.9,2.349927536,1.004517203
3,2.42018932,1.004752704
3.1,2.492551843,1.004995286
3.2,2.56707791,1.005245163
3.3,2.643832206,1.005502557
3.4,2.722881348,1.005767694
3.5,2.804293943,1.006040809
3.6,2.888140653,1.006322143
3.7,2.974494247,1.006611946
3.8,3.063429673,1.006910474
3.9,3.155024119,1.007217992
4,3.249357079,1.007534772
4.1,3.346510424,1.007861096
4.2,3.446568471,1.008197253
4.3,3.549618061,1.008543541
4.4,3.655748626,1.00890027
4.5,3.765052275,1.009267755
4.6,3.877623868,1.009646324
4.7,3.993561101,1.010036315
4.8,4.11296459,1.010438074
4.9,4.235937959,1.010851962
5,4.362587929,1.011278346
5.1,4.49302441,1.011717609
5.2,4.627360598,1.012170143
5.3,4.765713072,1.012636353
5.4,4.908201896,1.013116658
5.5,5.05495072,1.013611487
5.6,5.206086892,1.014121286
5.7,5.361741565,1.014646512
5.8,5.522049812,1.015187637
5.9,5.687150743,1.015745151
6,5.857187625,1.016319553
6.1,6.032308007,1.016911364
6.2,6.212663846,1.017521119
6.3,6.398411642,1.018149367
6.4,6.58971257,1.018796679
6.5,6.786732624,1.019463642
6.6,6.989642755,1.020150861
6.7,7.198619025,1.02085896
6.8,7.413842756,1.021588585
6.9,7.635500688,1.022340401
7,7.86378514,1.023115094
7.1,8.09889418,1.023913372
7.2,8.341031791,1.024735967
7.3,8.590408053,1.025583632
7.4,8.847239322,1.026457146
7.5,9.111748417,1.027357314
7.6,9.384164815,1.028284963
7.7,9.66472485,1.029240952
7.8,9.953671913,1.030226163
7.9,10.25125667,1.03124151
8,10.55773727,1.032287935
8.1,10.87337958,1.033366411
8.2,11.19845741,1.034477943
8.3,11.53325274,1.03562357
8.4,11.87805597,1.036804362
8.5,12.23316619,1.038021428
8.6,12.59889141,1.039275911
8.7,12.97554885,1.040568992
8.8,13.36346519,1.041901892
8.9,13.76297688,1.043275873
9,14.1744304,1.044692237
9.1,14.5981826,1.046152333
9.2,15.03460097,1.047657552
9.3,15.48406397,1.049209333
9.4,15.94696137,1.050809163
9.5,16.42369458,1.052458582
9.6,16.91467698,1.054159177
9.7,17.42033431,1.055912595
9.8,17.941105,1.057720535
9.9,18.47744058,1.059584756
10,19.02980606,1.061507078
10.1,19.59868032,1.063489383
10.2,20.18455654,1.065533617
10.3,20.78794262,1.067641797
10.4,21.40936161,1.069816007
10.5,22.04935217,1.072058407
10.6,22.70846905,1.07437123
10.7,23.38728352,1.07675679
10.8,24.08638392,1.079217483
10.9,24.80637613,1.081755789
11,25.54788411,1.084374278
11.1,26.31155044,1.087075611
11.2,27.09803684,1.089862547
11.3,27.9080248,1.092737943
11.4,28.74221609,1.095704761
11.5,29.60133345,1.09876607
11.6,30.48612114,1.101925054
11.7,31.39734561,1.105185013
11.8,32.33579619,1.108549368
11.9,33.30228569,1.112021671
12,34.29765118,1.115605605
12.1,35.32275466,1.11930499
12.2,36.37848383,1.123123792
